com.victronenergy.solarcharger.ttyO0
/Mgmt/Connection	STRING	VE.Direct	VE.Direct
/Mgmt/ProcessVersion	STRING	3.65	3.65
/Mgmt/ProcessName	STRING	vedirect-dbus	vedirect-dbus
/Load/State	UINT32	1	1
/Link/BatteryCurrent	ARRAY	[]	
/Link/ChargeCurrent	ARRAY	[]	
/Link/ChargeVoltage	DOUBLE	14.199999809265137	14.20V
/Link/TemperatureSense	ARRAY	[]	
/Link/VoltageSense	DOUBLE	26.399999618530273	26.40V
/Link/TemperatureSenseActive	BYTE	0	0
/Link/VoltageSenseActive	BYTE	1	1
/Link/NetworkStatus	UINT32	0	0
/Link/NetworkMode	UINT32	5	5
/Pv/V	DOUBLE	49.7	49.70V
/Mode	UINT32	1	1
/MppOperationMode	UINT32	2	2
/DeviceOffReason	UINT32	0	0
/Capabilities/Capabilities1	UINT32	134868854	134868854
/Settings/BmsPresent	UINT32	0	0
/Settings/ChargeCurrentLimit	DOUBLE	35.0	35.0A
/History/Overall/DaysAvailable	INT32	31	31
/History/Overall/LastError4	INT32	0	0
/History/Overall/LastError3	INT32	0	0
/History/Overall/LastError2	INT32	0	0
/History/Overall/LastError1	INT32	67	67
/History/Overall/MinBatteryVoltage	DOUBLE	8.520000457763672	8.52V
/History/Overall/MaxBatteryVoltage	DOUBLE	16.700000762939453	16.70V
/History/Overall/MaxPvVoltage	DOUBLE	51.61000061035156	51.61V
/History/Daily/30/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/30/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/30/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/30/LastError4	INT32	0	0
/History/Daily/30/LastError3	INT32	0	0
/History/Daily/30/LastError2	INT32	0	0
/History/Daily/30/LastError1	INT32	0	0
/History/Daily/30/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/30/MaxPower	DOUBLE	34.0	34W
/History/Daily/30/MaxBatteryCurrent	DOUBLE	2.5	2.5A
/History/Daily/30/MinBatteryVoltage	DOUBLE	26.470000267028809	26.47V
/History/Daily/30/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/30/Consumption	ARRAY	[]	
/History/Daily/30/Yield	DOUBLE	0.03999999910593033	0.04kWh
/History/Daily/30/Nr	INT32	148	148
