com.victronenergy.genset.socketcan_can0_vi0_uc88
/HardwareVersion	ARRAY	[]	
/Engine/OperatingHours	UINT32	1261620	1261620s
/Mgmt/ProcessVersion	STRING	2.41	2.41
/Ac/L1/Current	UINT16	24	24A
/ErrorCode	BYTE	0	0
/ProductId	UINT16	45120	0xB040
/Ac/L3/Voltage	UINT16	232	232V
/Engine/CoolantTemperature	DOUBLE	73.0	73degrees
/DeviceInstance	UINT32	0	0
/Ac/L2/Current	UINT16	25	25A
/Mgmt/Connection	STRING	VE.Can	VE.Can
/Connected	UINT32	1	1
/NrOfPhases	UINT32	3	3
/Engine/Load	DOUBLE	41.0	41%
/FirmwareVersion	UINT32	520	v2.08
/Ac/L1/Power	INT32	4160	4160W
/Ac/L3/Power	INT32	4210	4210W
/Ac/L2/Voltage	UINT16	232	232V
/Ac/L3/Current	UINT16	24	24A
/N2kUniqueNumber	UINT32	88	88
/Engine/WindingTemperature	DOUBLE	63.0	63degrees
/Engine/Speed	DOUBLE	2952.0	2952rpm
/StarterVoltage	DOUBLE	13.399999618530273	13.4V
/RemoteStartModeEnabled	UINT32	1	1
/Ac/L1/Voltage	UINT16	232	232V
/Engine/ExaustTemperature	DOUBLE	62.0	62degrees
/StatusCode	BYTE	8	8
/Start	UINT32	1	1
/Serial	STRING	0000088	0000088
/Mgmt/ProcessName	STRING	vecan-dbus	vecan-dbus
/Ac/Frequency	DOUBLE	50.79999923706055	51Hz
/Ac/L2/Power	INT32	4210	4210W
/ModuleId	BYTE	9	9
/ProductName	STRING	Fischer Panda Genset	Fischer Panda Genset

1	/Ac/L3/Power	INT32	4100	4100W
1	/Engine/CoolantTemperature	DOUBLE	71.0	71degrees
1	/Engine/Speed	DOUBLE	2956.0	2956rpm
1	/Engine/Load	DOUBLE	43.0	43%
2	2	/Ac/L3/Current	UINT16	22	22A
2	/Ac/L3/Voltage	UINT16	230	230V
2	2	/Ac/L2/Power	INT32	4060	4060W
2	/Ac/L2/Current	UINT16	22	22A
2	/Ac/L2/Voltage	UINT16	230	230V
2	/Ac/Frequency	DOUBLE	50.5	50Hz
2	/Ac/L1/Power	INT32	4040	4040W
2	/Ac/L1/Current	UINT16	22	22A
2	/Ac/L1/Voltage	UINT16	230	230V
2	/StarterVoltage	DOUBLE	13.800000190734863	13.8V
2	/Engine/ExaustTemperature	DOUBLE	60.0	60degrees
2	/Engine/WindingTemperature	DOUBLE	64.0	64degrees
2	/Ac/L3/Power	INT32	3900	3900W
3	/Engine/CoolantTemperature	DOUBLE	69.0	69degrees
3	/Engine/Speed	DOUBLE	2966.0	2966rpm
3	/Engine/Load	DOUBLE	53.0	53%
3	3	/Ac/L3/Current	UINT16	22	22A
3	/Ac/L3/Voltage	UINT16	228	228V
3	3	/Ac/L2/Power	INT32	3860	3860W
3	/Ac/L2/Current	UINT16	22	22A
3	/Ac/L2/Voltage	UINT16	228	228V
3	/Ac/Frequency	DOUBLE	49.900001525878906	50Hz
3	/Ac/L1/Power	INT32	3840	3840W
3	/Ac/L1/Current	UINT16	22	22A
3	/Ac/L1/Voltage	UINT16	229	229V
3	/StarterVoltage	DOUBLE	14.800000190734863	14.8V
3	/Engine/ExaustTemperature	DOUBLE	61.0	61degrees
3	/Engine/WindingTemperature	DOUBLE	66.0	66degrees
3	/Ac/L3/Power	INT32	3870	3870W
3	/Engine/CoolantTemperature	DOUBLE	67.0	67degrees
3	/Engine/Speed	DOUBLE	2976.0	2976rpm
3	/Engine/Load	DOUBLE	63.0	63%
4	4	/Ac/L3/Current	UINT16	26	26A
4	/Ac/L3/Voltage	UINT16	232	232V
4	4	/Ac/L2/Power	INT32	3910	3910W
4	/Ac/L2/Current	UINT16	26	26A
4	/Ac/L2/Voltage	UINT16	232	232V
4	/Ac/Frequency	DOUBLE	49.29999923706055	49Hz
4	/Ac/L1/Power	INT32	3930	3930W
4	/Ac/L1/Current	UINT16	26	26A
4	/Ac/L1/Voltage	UINT16	233	233V
4	/StarterVoltage	DOUBLE	12.5	12.5V
4	/Engine/ExaustTemperature	DOUBLE	63.0	63degrees
4	/Engine/WindingTemperature	DOUBLE	68.0	68degrees
4	/Ac/L3/Power	INT32	4070	4070W
4	/Engine/CoolantTemperature	DOUBLE	65.0	65degrees
4	/Engine/Speed	DOUBLE	2986.0	2986rpm
4	/Engine/Load	DOUBLE	22.0	22%
4	4	/Ac/L3/Current	UINT16	30	30A
4	/Ac/L3/Voltage	UINT16	230	230V
4	5	/Ac/L2/Power	INT32	4110	4110W
5	/Ac/L2/Current	UINT16	30	30A
5	/Ac/L2/Voltage	UINT16	230	230V
5	/Ac/Frequency	DOUBLE	49.20000076293945	49Hz
5	/Ac/L1/Power	INT32	4130	4130W
5	/Ac/L1/Current	UINT16	30	30A
5	/Ac/L1/Voltage	UINT16	229	229V
5	/StarterVoltage	DOUBLE	13.5	13.5V
5	/Engine/ExaustTemperature	DOUBLE	65.0	65degrees
5	/Engine/WindingTemperature	DOUBLE	70.0	70degrees
5	/Ac/L3/Power	INT32	4140	4140W
5	/Engine/CoolantTemperature	DOUBLE	63.0	63degrees
5	/Engine/Speed	DOUBLE	2996.0	2996rpm
5	/Engine/Load	DOUBLE	32.0	32%
5	5	/Ac/L3/Current	UINT16	26	26A
5	/Ac/L3/Voltage	UINT16	229	229V
5	5	/Ac/L2/Power	INT32	4100	4100W
6	/Ac/L2/Current	UINT16	26	26A
6	/Ac/L2/Voltage	UINT16	229	229V
6	/Ac/Frequency	DOUBLE	49.79999923706055	50Hz
6	/Ac/L1/Power	INT32	4080	4080W
6	/Ac/L1/Current	UINT16	26	26A
6	/Ac/L1/Voltage	UINT16	229	229V
6	/StarterVoltage	DOUBLE	14.5	14.5V
6	/Engine/ExaustTemperature	DOUBLE	67.0	67degrees
6	/Engine/WindingTemperature	DOUBLE	72.0	72degrees
6	/Ac/L3/Power	INT32	3940	3940W
6	/Engine/CoolantTemperature	DOUBLE	61.0	61degrees
6	/Engine/Speed	DOUBLE	3006.0	3006rpm
6	/Engine/Load	DOUBLE	42.0	42%
6	7	/Ac/L3/Current	UINT16	22	22A
7	/Ac/L3/Voltage	UINT16	233	233V
7	7	/Ac/L2/Power	INT32	3900	3900W
7	/Ac/L2/Current	UINT16	22	22A
7	/Ac/L2/Voltage	UINT16	233	233V
7	/Ac/Frequency	DOUBLE	50.400001525878906	50Hz
7	/Ac/L1/Power	INT32	3880	3880W
7	/Ac/L1/Current	UINT16	22	22A
7	/Ac/L1/Voltage	UINT16	233	233V
8	/StarterVoltage	DOUBLE	15.5	15.5V
8	/Engine/ExaustTemperature	DOUBLE	69.0	69degrees
8	/Engine/WindingTemperature	DOUBLE	74.0	74degrees
8	/Ac/L3/Power	INT32	3830	3830W
8	/Engine/CoolantTemperature	DOUBLE	60.0	60degrees
8	/Engine/Speed	DOUBLE	3016.0	3016rpm
8	/Engine/Load	DOUBLE	52.0	52%
8	8	/Ac/L3/Current	UINT16	21	21A
8	/Ac/L3/Voltage	UINT16	229	229V
8	8	/Ac/L2/Power	INT32	3870	3870W
8	/Ac/L2/Current	UINT16	21	21A
8	/Ac/L2/Voltage	UINT16	229	229V
8	/Ac/Frequency	DOUBLE	50.900001525878906	51Hz
8	/Ac/L1/Power	INT32	3890	3890W
8	/Ac/L1/Current	UINT16	22	22A
8	/Ac/L1/Voltage	UINT16	229	229V
8	/StarterVoltage	DOUBLE	13.199999809265137	13.2V
8	/Engine/ExaustTemperature	DOUBLE	71.0	71degrees
8	/Engine/WindingTemperature	DOUBLE	76.0	76degrees
8	/Start	UINT32	0	0
9	/StatusCode	BYTE	0	0
9	/Ac/L3/Power	INT32	4030	4030W
9	/Engine/CoolantTemperature	DOUBLE	62.0	62degrees
9	/Engine/Speed	DOUBLE	0.0	0rpm
9	/Engine/Load	DOUBLE	0.0	0%
9	9	/Ac/L3/Current	UINT16	0	0A
9	/Ac/L3/Voltage	UINT16	0	0V
9	9	/Ac/L2/Power	INT32	0	0W
9	/Ac/L2/Current	UINT16	0	0A
9	/Ac/L2/Voltage	UINT16	0	0V
9	/Ac/Frequency	DOUBLE	0.0	0Hz
9	/Ac/L1/Power	INT32	0	0W
9	/Ac/L1/Current	UINT16	0	0A
9	/Ac/L1/Voltage	UINT16	0	0V
9	/StarterVoltage	DOUBLE	14.199999809265137	14.2V
9	/Engine/ExaustTemperature	DOUBLE	73.0	73degrees
9	/Engine/WindingTemperature	DOUBLE	78.0	78degrees
9	/Ac/L3/Power	INT32	0	0W
