com.victronenergy.tank.adc_builtin0_0
/Alarms/High/Active	INT32	90	90
/Alarms/High/Delay	INT32	5	5s
/Alarms/High/Enable	INT32	0	Disabled
/Alarms/High/Restore	INT32	80	80
/Alarms/High/State	ARRAY	[]	
/Alarms/Low/Active	INT32	10	10
/Alarms/Low/Delay	INT32	30	30s
/Alarms/Low/Enable	INT32	0	Disabled
/Alarms/Low/Restore	INT32	15	15
/Alarms/Low/State	ARRAY	[]	
/Capacity	DOUBLE	0.550	0.550m3
/Connected	UINT32	1	1
/CustomName	STRING	Diesel PORT	Diesel PORT
/DeviceInstance	UINT32	24	24
/FilterLength	INT32	10	10s
/FluidType	INT32	0	Fuel
/Level	UINT32	8	8%
/Mgmt/Connection	STRING	Tank Level input 1	Tank Level input 1
/Mgmt/ProcessName	STRING	dbus-adc	dbus-adc
/Mgmt/ProcessVersion	STRING	1.32	1.32
/ProductId	UINT32	41313	A161
/ProductName	STRING	Generic Tank Input	Generic Tank Input
/RawUnit	STRING	Ω	Ω
/RawValue	DOUBLE	14.4	14.4
/RawValueEmpty	DOUBLE	0.0	0ohm
/RawValueFull	DOUBLE	180.0	180ohm
/Remaining	DOUBLE	0.044	0.044m3
/Shape	STRING		
/Standard	INT32	0	European
/Status	UINT32	0	Ok

0	/RawValue	DOUBLE	14.4	14.4
60	/RawValue	DOUBLE	14.4	14.4
